fish_id,year,station,length,sex,gut_length,SP1,SP2,PS,plates,grn,grg,grl2,grl3
BK16075,2016,HS2,51,f,NA,2.617,2.664,4.048,5,13,0.2,0.9153333,0.9033333
BK16125,2016,HS2,65,f,NA,4.97,5.951,5.027,5,13,0.2866667,1.512667,1.44
BK16175,2016,HS2,48,f,NA,3.11,3.177,4.961,5,8,0.164,0.9576667,0.904
BK16179,2016,NS,52,f,NA,2.643,2.601,4.537,6,14,0.2446667,0.7093333,0.7773333
BK16180,2016,NS,36,f,NA,0.911,2.187,3.728,5,11,0.143,0.698,0.7273333
BK16181,2016,NS,38,f,NA,2.092,2.277,3.957,4,13,0.1376667,0.804,0.9203333
BK16182,2016,NS,58,f,NA,3.185,3.141,5.087,5,NA,NA,NA,NA
BK16183,2016,NS,40,f,NA,2.339,2.443,4.064,5,15,0.123,0.8046667,0.9403333
BK16184,2016,NS,37,f,NA,2.315,2.138,3.98,4,11,0.1446667,0.61,0.682
BK16193,2016,HS2,35,m,NA,3.101,3.261,4.534,4,14,0.1153333,0.759,0.8033333
BK16235,2016,HS2,37,m,NA,NA,2.732,4.354,4,14,0.1216667,0.6333333,0.659
BK16235,2016,HS2,37,m,NA,NA,2.732,4.354,4,14,0.1216667,0.6333333,0.659
BK16250,2016,HS2,35,NA,NA,2.746,3.197,3.898,6,NA,NA,NA,NA
BK16251,2016,HS2,50,f,NA,3.476,3.567,5.485,5,13,0.1623333,0.9846667,0.9563333
BK16252,2016,44,47,f,NA,2.279,2.678,4.39,6,15,0.1826667,1.043667,1.101333
BK16253,2016,27,51,m,NA,2.632,2.866,3.244,5,NA,NA,NA,NA
BK16254,2016,23,58,f,NA,3.667,3.543,6.417,5,15,0.154,1.024333,1.140667
BK16255,2016,41,39,f,NA,1.96,2.418,3.683,5,12,0.1143333,0.6883333,0.6623333
BK16256,2016,124,36,f,NA,1.817,1.641,4.118,3,11,0.12,0.63,0.5623333
BK16257,2016,128,57,f,NA,3.25,3.199,5.077,5,13,0.199,1.136667,1.454667
BK16258,2016,128,35,f,NA,1.867,2.027,3.386,5,14,0.09533333,0.6093333,0.5973333
BK16261,2016,DN,43,m,NA,2.169,2.206,3.489,5,13,0.1393333,0.992,1.133333
BK16262,2016,DN,42,f,NA,2.168,2.619,3.879,6,13,0.1116667,0.7916667,0.9773333
BK16264,2016,DN,40,f,NA,1.836,2.594,3.722,4,13,0.1573333,0.8773333,0.9
BK16265,2016,135,50,f,NA,2.969,3.283,4.856,5,14,0.1493333,1.108,1.23
BK16266,2016,135,40,m,NA,2.122,2.097,3.526,6,10,0.086,0.677,0.684
BK16268,2016,135,40,m,NA,2.083,2.07,3.899,6,14,0.1113333,0.7593333,0.8913333
BK16269,2016,124,38,f,NA,2.16,2.357,3.771,4,14,0.11,0.6646667,0.7793333
BK16270,2016,124,42,f,NA,2.666,2.912,4.431,4,13,0.1126667,0.9483333,0.994
BK16271,2016,124,42,f,NA,NA,1.936,3.826,4,15,0.128,0.9553333,0.907
BK16273,2016,128,48,f,NA,2.24,2.585,4.812,6,15,0.166,1.011333,1.069
BK16274,2016,128,42,f,NA,2.697,2.965,4.081,4,14,0.122,1.004667,0.9593333
BK16277,2016,128,35,f,NA,2.215,2.723,3.077,4,13,0.1143333,0.6866667,0.6793333
